pmid,year,published,journal,tier,doi,title
42247513,2026,2026-06-05,Science Advances,强相关,10.1126/sciadv.aef5331,Engagement of the TCR against an oncolytic virus generates a population of effector CAR T cells with potent antitumor activity.
42119557,2026,2026-05-21,Cell Chemical Biology,启发,10.1016/j.chembiol.2026.04.007,Programmable living therapeutics for cancer immunotherapy.
41855345,2026,2026-03-19,Science,启发,10.1126/science.adu7686,Commensal-driven serotonin production modulates in vivo delivery of synthetic and viral vectors.
40817284,2026,2026-03,Nature Biomedical Engineering,核心,10.1038/s41551-025-01476-8,Engineered bacteria launch and control an oncolytic virus.
41593087,2026,2026-01-27,Nature Communications,启发,10.1038/s41467-026-68364-w,Engineered VPg saRNA achieves cap-independent low-immunogenic and precise encoding of therapeutic proteins in vivo.
41345806,2025,2025-12,Nature Cancer,核心,10.1038/s43018-025-01070-6,Retargeted oncolytic viruses engineered to remodel the tumor microenvironment for glioblastoma immunotherapy.
40628717,2025,2025-07-08,Nature Communications,强相关,10.1038/s41467-025-61297-w,The PARP inhibitor talazoparib synergizes with reovirus to induce cancer killing and tumour control in vivo in mouse models.
40411783,2025,2025-06-24,Cell Reports,强相关,10.1016/j.celrep.2025.115745,Heterologous prime-boost with an mRNA vaccine and an oncolytic virus enhances tumor regression through overcoming intratumoral immune suppression.
40413207,2025,2025-05-25,Nature Communications,强相关,10.1038/s41467-025-60133-5,Palbociclib and dsRNA sensor co-operate to enhance anti-cancer effects through ER stress and modulation of immune evasion.
40360587,2025,2025-05-13,Scientific Reports,启发,10.1038/s41598-025-01584-0,Therapeutic limitations of oncolytic VSVd51-mediated miR-199a-5p delivery in triple negative breast cancer models.
39910037,2025,2025-02-05,Nature Communications,核心,10.1038/s41467-025-56482-w,The oncolytic adenovirus TILT-123 with pembrolizumab in platinum resistant or refractory ovarian cancer: the phase 1a PROTA trial.
38693119,2024,2024-04-30,Nature Communications,强相关,10.1038/s41467-024-48032-7,Fn-OMV potentiates ZBP1-mediated PANoptosis triggered by oncolytic HSV-1 to fuel antitumor immunity.
38177457,2024,2024-01,Nature Cancer,启发,10.1038/s43018-023-00627-7,An oncolytic circular RNA therapy.
37845485,2024,2024-01,Nature Cancer,启发,10.1038/s43018-023-00650-8,An in vitro-transcribed circular RNA targets the mitochondrial inner membrane cardiolipin to ablate EIF4G2+/PTBP1+ pan-adenocarcinoma.
